;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{3};\textbf{{2}};{14};{14};{55};{198};{133};{10,000};{10,000};{10,000};{10,000};{10,000};{10,000};{82};{115};{230};{10,000};{10,000};{10,000}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;7;22;17;7793;7419;7458;14874;15056;14639;14;20;54;14752;14956;14521
cuts;;;;;;;;;;;;;;;;;;;
# total;{800};{921};\textbf{{456}};\textbf{{456}};{1,973};{5,315};{4,019};{356,174};{345,874};{345,893};{343,731};{344,917};{340,040};{4,631};{7,252};{9,055};{340,270};{346,537};{339,430}
# max;{400};{921};{70};{70};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{400};{921};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{101};{168};{147};{326,343};{311,186};{312,625};{310,772};{314,706};{306,193};{2,510};{4,006};{5,614};{308,211};{312,572};{303,850}
# removed;{26};{0};{242};{242};{1,716};{5,045};{3,756};{89,593};{101,068};{95,368};{89,266};{105,825};{90,173};{3,957};{6,481};{8,231};{105,489};{85,910};{100,142}
objective;;;;;;;;;;;;;;;;;;;
bound;-37.7;-37.7;-37.7;-37.7;-32.87;-32.46;-32.77;\textbf{-29.28};\textbf{-29.28};\textbf{-29.28};\textbf{-29.28};\textbf{-29.28};\textbf{-29.28};-34.54;-34.38;-34.38;\textbf{-29.28};\textbf{-29.28};\textbf{-29.28}
gap;31.2%;31.2%;31.2%;31.2%;14.4%;13.0%;14.1%;$\mathbf{1.9%}$;$\mathbf{1.9%}$;$\mathbf{1.9%}$;$\mathbf{1.9%}$;$\mathbf{1.9%}$;$\mathbf{1.9%}$;20.2%;19.7%;19.7%;$\mathbf{1.9%}$;$\mathbf{1.9%}$;$\mathbf{1.9%}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};0.005;\textbf{0.004};0.010;0.010;0.060;0.147;0.106;345.613;277.868;293.888;301.410;262.065;288.875;1.802;2.160;6.642;259.458;320.108;268.576
normalized;1.00;\textbf{0.80};2.00;2.00;12.00;29.40;21.20;69122.60;55573.60;58777.60;60282.00;52413.00;57775.00;360.40;432.00;1328.40;51891.60;64021.60;53715.20
lp time \si[per-mode=symbol]{\per\second};0.004;\textbf{0.003};0.009;0.009;0.052;0.126;0.091;343.231;275.652;291.694;298.355;259.055;285.815;0.090;0.122;0.191;256.392;316.953;265.562
