;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{3,712};\textbf{{6}};{10,000};{20};{4,060};{4,152};{3,929};{4,000};{4,186};{4,030};{4,037};{3,990};{3,917};{3,712};{3,712};{3,712};{4,081};{3,928};{3,922}
calls;0;0;0;0;1;1;1;2;1;1;2;1;2;1;1;2;4;1;2
objective;;;;;;;;;;;;;;;;;;;
bound;135.5;135.5;136.3;135.5;\textbf{135.3};\textbf{135.3};\textbf{135.3};\textbf{135.3};\textbf{135.3};\textbf{135.3};\textbf{135.3};\textbf{135.3};\textbf{135.3};135.5;135.5;135.5;\textbf{135.3};\textbf{135.3};\textbf{135.3}
gap;0.1%;0.1%;0.7%;0.1%;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;0.1%;0.1%;0.1%;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$
time;;;;;;;;;;;;;;;;;;;
seconds;286.655;140.807;599.619;\textbf{14.621};305.721;309.898;300.815;302.782;311.934;305.005;305.710;302.744;300.734;846.531;1192.236;1752.368;307.655;301.564;300.637
relative;19.61;9.63;41.01;\textbf{1.00};20.91;21.20;20.57;20.71;21.33;20.86;20.91;20.71;20.57;57.90;81.54;119.85;21.04;20.63;20.56
