;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{5};\textbf{{2}};{21};{21};{92};{92};{134};{10,000};{10,000};{10,000};{10,000};{10,000};{10,000};{85};{112};{231};{10,000};{10,000};{10,000}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;12;11;18;8751;8650;8345;17105;17268;17479;14;18;66;17550;17155;17494
cuts;;;;;;;;;;;;;;;;;;;
# total;{1,057};{899};\textbf{{676}};\textbf{{676}};{3,013};{2,915};{3,355};{390,749};{387,441};{376,704};{383,178};{386,110};{391,361};{5,363};{7,188};{10,245};{391,746};{386,110};{391,430}
# max;{400};{899};{67};{67};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{20};{899};{3};{3};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{82};{103};{91};{373,290};{368,526};{355,853};{363,571};{367,581};{372,190};{2,776};{4,316};{6,794};{373,666};{364,881};{372,105}
# removed;{616};{0};{437};{437};{2,760};{2,669};{3,103};{59,572};{51,847};{66,560};{46,563};{52,089};{44,947};{4,601};{6,324};{9,315};{46,416};{57,437};{51,703}
objective;;;;;;;;;;;;;;;;;;;
bound;-29.69;-29.69;-29.69;-29.69;-28.44;-28.3;-28.05;\textbf{-26.51};\textbf{-26.51};\textbf{-26.51};\textbf{-26.51};\textbf{-26.51};\textbf{-26.51};-28.39;-28.3;-28.3;\textbf{-26.51};\textbf{-26.51};\textbf{-26.51}
gap;13.6%;13.6%;13.6%;13.6%;8.8%;8.3%;7.3%;$\mathbf{1.4%}$;$\mathbf{1.4%}$;$\mathbf{1.4%}$;$\mathbf{1.4%}$;$\mathbf{1.4%}$;$\mathbf{1.4%}$;8.6%;8.3%;8.3%;$\mathbf{1.4%}$;$\mathbf{1.4%}$;$\mathbf{1.4%}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};0.012;\textbf{0.007};0.016;0.016;0.057;0.056;0.071;476.523;492.504;412.265;494.928;492.067;527.896;1.813;2.136;8.229;528.827;463.354;501.215
normalized;1.00;\textbf{0.58};1.33;1.33;4.75;4.67;5.92;39710.25;41042.00;34355.42;41244.00;41005.58;43991.33;151.08;178.00;685.75;44068.92;38612.83;41767.92
lp time \si[per-mode=symbol]{\per\second};0.010;\textbf{0.007};0.014;0.015;0.046;0.047;0.058;473.970;489.998;409.803;491.428;488.634;524.337;0.074;0.098;0.190;525.269;459.957;497.740
