;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;\textbf{{2}};\textbf{{2}};{16};{16};{8};{8};{7};{8};{8};{7};{7};{8};{8};{3};{9};{11};{8};{7};{11}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;3;3;3;3;3;3;3;3;3;2;6;13;3;3;3
cuts;;;;;;;;;;;;;;;;;;;
# total;{134};{134};\textbf{{112}};\textbf{{112}};{196};{188};{183};{189};{192};{183};{182};{198};{196};{228};{410};{432};{183};{182};{209}
# max;{134};{134};{19};{19};{134};{134};{134};{134};{134};{134};{134};{134};{134};{134};{134};{134};{134};{134};{134}
# min;{134};{134};{1};{1};{2};{2};{2};{1};{2};{2};{2};{2};{2};{94};{1};{1};{2};{2};{1}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{45};{37};{32};{31};{40};{31};{30};{31};{41};{94};{268};{288};{31};{31};{41}
# removed;{0};{0};{58};{58};{126};{119};{109};{117};{119};{110};{109};{133};{125};{14};{257};{220};{124};{108};{137}
objective;;;;;;;;;;;;;;;;;;;
bound;-6.464;-6.464;-6.464;-6.464;\textbf{-5.46};\textbf{-5.46};\textbf{-5.46};\textbf{-5.46};\textbf{-5.46};\textbf{-5.46};\textbf{-5.46};\textbf{-5.46};\textbf{-5.46};-6.357;-6.256;-6.256;\textbf{-5.46};\textbf{-5.46};\textbf{-5.46}
gap;18.4%;18.4%;18.4%;18.4%;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;16.4%;14.6%;14.6%;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};\textbf{0.001};\textbf{0.001};0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.216;0.449;1.338;0.002;0.002;0.002
normalized;\textbf{1.00};\textbf{1.00};2.00;2.00;2.00;2.00;2.00;2.00;2.00;2.00;2.00;2.00;2.00;216.00;449.00;1338.00;2.00;2.00;2.00
lp time \si[per-mode=symbol]{\per\second};\textbf{0.001};\textbf{0.001};\textbf{0.001};0.002;\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};0.002;\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};0.002;0.005;0.002;0.002;0.002
