;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{4};\textbf{{2}};{20};{20};{160};{88};{141};{10,000};{10,000};{10,000};{10,000};{10,000};{10,000};{55};{107};{176};{10,000};{10,000};{10,000}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;24;11;18;8415;8331;8302;16623;15935;16494;12;18;55;15976;16259;16446
cuts;;;;;;;;;;;;;;;;;;;
# total;{832};{779};\textbf{{586}};\textbf{{586}};{3,595};{2,795};{3,258};{373,972};{371,338};{369,678};{368,520};{354,915};{365,634};{3,817};{6,073};{7,409};{354,044};{361,017};{366,936}
# max;{400};{779};{64};{64};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{32};{779};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{188};{100};{168};{353,411};{349,463};{348,762};{347,413};{332,809};{345,174};{2,190};{3,814};{5,114};{333,545};{339,132};{344,286}
# removed;{295};{0};{389};{389};{3,355};{2,563};{3,023};{58,257};{68,648};{63,098};{56,491};{65,360};{59,420};{3,204};{5,414};{6,545};{71,412};{56,523};{62,997}
objective;;;;;;;;;;;;;;;;;;;
bound;-114.6;-114.6;-114.6;-114.6;-103.3;-105.8;-104.1;\textbf{-96.83};\textbf{-96.83};\textbf{-96.83};\textbf{-96.83};\textbf{-96.83};\textbf{-96.83};-107.1;-106.6;-106.6;\textbf{-96.83};\textbf{-96.83};\textbf{-96.83}
gap;19.6%;19.6%;19.6%;19.6%;7.9%;10.5%;8.6%;$\bm{1.1%}$;$\bm{1.1%}$;$\bm{1.1%}$;$\bm{1.1%}$;$\bm{1.1%}$;$\bm{1.1%}$;11.8%;11.4%;11.4%;$\bm{1.1%}$;$\bm{1.1%}$;$\bm{1.1%}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};0.006;\textbf{0.003};0.013;0.012;0.095;0.058;0.082;488.803;446.372;459.521;476.227;401.792;456.335;1.590;2.202;6.935;402.417;449.579;450.794
normalized;1.00;\textbf{0.50};2.17;2.00;15.83;9.67;13.67;81467.17;74395.33;76586.83;79371.17;66965.33;76055.83;265.00;367.00;1155.83;67069.50;74929.83;75132.33
lp time \si[per-mode=symbol]{\per\second};0.006;\textbf{0.003};0.012;0.012;0.080;0.045;0.065;486.297;443.914;457.057;472.907;398.532;453.021;0.054;0.091;0.147;399.141;446.158;447.386
