;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{3};\textbf{{2}};{12};{12};{9};{10};{6};{7};{5};{8};{6};{7};{7};{9};{56};{95};{5};{5};{8}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;2;2;2;3;1;3;2;2;2;4;15;47;1;1;2
cuts;;;;;;;;;;;;;;;;;;;
# total;{413};{525};\textbf{{238}};\textbf{{238}};{567};{557};{521};{521};{501};{523};{502};{537};{526};{942};{3,352};{3,842};{513};{497};{557}
# max;{400};{525};{57};{57};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{13};{525};{1};{1};{1};{1};{2};{4};{9};{4};{2};{2};{2};{1};{1};{1};{13};{4};{2}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{105};{96};{81};{91};{79};{92};{81};{85};{86};{516};{2,428};{2,904};{80};{80};{96}
# removed;{24};{0};{92};{92};{396};{367};{305};{309};{274};{357};{276};{321};{308};{564};{2,814};{3,114};{272};{272};{368}
objective;;;;;;;;;;;;;;;;;;;
bound;-290.7;-290.7;-290.7;-290.7;\textbf{-204.1};\textbf{-204.1};\textbf{-204.1};\textbf{-204.1};\textbf{-204.1};\textbf{-204.1};\textbf{-204.1};\textbf{-204.1};\textbf{-204.1};-259.9;-253.1;-253.1;\textbf{-204.1};\textbf{-204.1};\textbf{-204.1}
gap;42.4%;42.4%;42.4%;42.4%;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;27.4%;24.0%;24.0%;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};\textbf{0.002};\textbf{0.002};0.006;0.005;0.007;0.008;0.005;0.006;0.005;0.007;0.005;0.006;0.006;7.938;43.781;117.358;0.005;0.005;0.007
normalized;\textbf{1.00};\textbf{1.00};3.00;2.50;3.50;4.00;2.50;3.00;2.50;3.50;2.50;3.00;3.00;3969.00;21890.50;58679.00;2.50;2.50;3.50
lp time \si[per-mode=symbol]{\per\second};\textbf{0.001};\textbf{0.001};0.005;\textbf{0.001};0.004;0.003;0.005;0.005;0.003;0.004;0.004;0.006;0.005;0.004;0.031;0.051;0.002;\textbf{0.001};0.004
