;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{4};\textbf{{2}};{15};{15};{123};{271};{232};{260};{306};{347};{634};{565};{464};{77};{98};{151};{673};{514};{580}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;17;39;30;31;37;40;124;111;89;13;16;42;129;109;100
cuts;;;;;;;;;;;;;;;;;;;
# total;{877};{852};\textbf{{605}};\textbf{{605}};{3,762};{5,946};{5,204};{8,148};{9,453};{9,783};{10,327};{9,294};{9,029};{3,802};{5,700};{6,030};{11,726};{8,952};{10,161}
# max;{400};{852};{69};{69};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{77};{852};{26};{26};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{159};{214};{197};{1,399};{1,686};{1,806};{1,078};{1,092};{1,120};{1,784};{2,894};{3,254};{1,278};{1,178};{997}
# removed;{363};{0};{381};{381};{3,532};{5,708};{4,970};{7,825};{9,124};{9,441};{10,002};{8,992};{8,716};{3,225};{5,026};{5,274};{11,401};{8,644};{9,853}
objective;;;;;;;;;;;;;;;;;;;
bound;-59.52;-59.52;-59.52;-59.52;-54.04;-53.63;-54.2;\textbf{-52.52};\textbf{-52.52};\textbf{-52.52};\textbf{-52.52};\textbf{-52.52};\textbf{-52.52};-55.83;-55.71;-55.71;\textbf{-52.52};\textbf{-52.52};\textbf{-52.52}
gap;13.3%;13.3%;13.3%;13.3%;2.9%;2.1%;3.2%;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;6.3%;6.1%;6.1%;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};0.010;\textbf{0.005};0.013;0.012;0.085;0.158;0.133;0.197;0.228;0.245;0.348;0.312;0.273;1.674;1.761;5.169;0.375;0.293;0.317
normalized;1.00;\textbf{0.50};1.30;1.20;8.50;15.80;13.30;19.70;22.80;24.50;34.80;31.20;27.30;167.40;176.10;516.90;37.50;29.30;31.70
lp time \si[per-mode=symbol]{\per\second};0.009;\textbf{0.004};0.010;0.010;0.079;0.137;0.111;0.167;0.191;0.218;0.289;0.261;0.235;0.074;0.088;0.123;0.319;0.237;0.269
