;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{10};\textbf{{3}};{18};{17};{24};{35};{47};{23};{26};{21};{34};{33};{38};{11};{11};{11};{29};{38};{44}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;6;9;9;4;6;5;9;9;13;2;2;3;9;12;13
cuts;;;;;;;;;;;;;;;;;;;
# total;{3,048};{2,781};\textbf{{1,024}};{1,067};{3,866};{4,114};{4,386};{3,903};{4,136};{4,052};{3,936};{4,144};{4,009};{3,228};{3,230};{3,228};{4,246};{4,467};{4,437}
# max;{400};{2,322};{149};{152};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{4};{459};{1};{1};{1};{1};{1};{4};{2};{4};{1};{1};{1};{4};{4};{4};{1};{3};{1}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{103};{105};{88};{140};{179};{146};{119};{115};{156};{180};{182};{180};{85};{101};{137}
# removed;{1,361};{947};{463};{502};{2,145};{2,330};{2,517};{2,052};{2,431};{2,300};{2,229};{2,343};{2,258};{1,362};{1,362};{1,362};{2,437};{2,601};{2,568}
objective;;;;;;;;;;;;;;;;;;;
bound;10.52;10.52;10.52;10.52;\textbf{10.29};10.29;10.3;\textbf{10.29};\textbf{10.29};\textbf{10.29};\textbf{10.29};\textbf{10.29};\textbf{10.29};10.5;10.5;10.5;\textbf{10.29};\textbf{10.29};\textbf{10.29}
gap;2.3%;2.3%;2.3%;2.3%;$\mathbf{0.1%}$;0.1%;0.2%;$\mathbf{0.1%}$;$\mathbf{0.1%}$;$\mathbf{0.1%}$;$\mathbf{0.1%}$;$\mathbf{0.1%}$;$\mathbf{0.1%}$;2.2%;2.2%;2.2%;$\mathbf{0.1%}$;$\mathbf{0.1%}$;$\mathbf{0.1%}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};0.048;\textbf{0.032};0.049;0.046;0.115;0.142;0.174;0.115;0.121;0.113;0.144;0.144;0.146;38.462;50.024;63.241;42.606;42.483;42.489
normalized;1.00;\textbf{0.67};1.02;0.96;2.40;2.96;3.62;2.40;2.52;2.35;3.00;3.00;3.04;801.29;1042.17;1317.52;887.62;885.06;885.19
lp time \si[per-mode=symbol]{\per\second};0.036;0.027;\textbf{0.026};\textbf{0.026};0.080;0.096;0.115;0.086;0.086;0.080;0.099;0.098;0.096;0.039;0.042;0.037;0.100;0.113;0.119
