;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{18};\textbf{{2}};{38};{15};{148};{170};{192};{10,000};{10,000};{10,000};{10,000};{10,000};{10,000};{453};{669};{483};{10,000};{10,000};{10,000}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;10;12;13;438;446;442;880;869;870;24;30;26;857;865;866
cuts;;;;;;;;;;;;;;;;;;;
# total;{6,460};{7,512};{4,405};\textbf{{1,964}};{34,820};{35,021};{35,657};{810,497};{816,425};{824,967};{779,910};{803,404};{791,475};{81,784};{113,682};{91,005};{803,047};{795,135};{787,505}
# max;{400};{7,512};{167};{299};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{60};{7,512};{2};{9};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{762};{767};{756};{41,196};{41,995};{41,629};{41,752};{41,072};{40,429};{9,200};{11,600};{9,600};{40,272};{40,487};{40,269}
# removed;{4,986};{0};{3,451};{1,089};{33,667};{33,865};{34,500};{809,070};{814,948};{823,378};{778,174};{801,869};{790,011};{79,924};{111,855};{89,178};{801,587};{793,645};{786,083}
objective;;;;;;;;;;;;;;;;;;;
bound;-1.535e+04;-1.535e+04;-1.535e+04;-1.535e+04;-1.261e+04;-1.262e+04;-1.264e+04;-1.086e+04;\textbf{-1.084e+04};-1.086e+04;-1.084e+04;-1.085e+04;-1.087e+04;-1.295e+04;-1.295e+04;-1.295e+04;-1.086e+04;-1.085e+04;-1.087e+04
gap;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};0.665;\textbf{0.042};0.695;0.142;4.374;4.235;4.398;65.842;69.016;68.648;65.222;65.766;63.773;30.402;38.186;33.170;65.851;63.740;66.862
normalized;1.00;\textbf{0.06};1.05;0.21;6.58;6.37;6.61;99.01;103.78;103.23;98.08;98.90;95.90;45.72;57.42;49.88;99.02;95.85;100.54
lp time \si[per-mode=symbol]{\per\second};0.655;\textbf{0.038};0.682;0.131;4.300;4.145;4.300;61.637;64.768;64.458;60.958;61.304;59.377;7.786;10.246;8.144;61.520;59.455;62.646
