;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{31};\textbf{{2}};{47};{17};{297};{422};{372};{10,000};{10,000};{10,000};{10,000};{10,000};{10,000};{621};{848};{994};{10,000};{10,000};{10,000}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;18;26;21;558;546;560;1085;1028;1087;48;63;130;1065;1009;1059
cuts;;;;;;;;;;;;;;;;;;;
# total;{11,756};{7,157};{5,594};\textbf{{2,270}};{46,887};{54,185};{52,030};{629,983};{637,646};{600,725};{582,292};{588,390};{599,435};{84,508};{111,553};{103,327};{601,323};{604,216};{596,199}
# max;{400};{7,157};{170};{286};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{156};{7,157};{2};{2};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{737};{688};{738};{51,920};{50,608};{51,758};{46,578};{42,903};{47,779};{16,260};{21,404};{30,024};{45,994};{41,780};{45,120}
# removed;{10,189};{0};{4,684};{1,369};{45,801};{53,087};{50,931};{628,539};{636,135};{599,335};{580,802};{587,012};{598,008};{82,179};{109,070};{100,224};{599,883};{602,874};{594,821}
objective;;;;;;;;;;;;;;;;;;;
bound;-480.4;-480.4;-480.4;-480.4;-410.8;-415.1;-412.4;\textbf{-357.7};-357.9;-357.8;-358.7;-360.3;-358.4;-415.7;-415.5;-415.5;-359.2;-359;-359.7
gap;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};0.856;\textbf{0.105};0.766;0.155;3.968;4.556;4.429;53.566;53.672;52.933;52.178;50.931;53.102;79.072;116.430;301.281;51.459;50.784;50.942
normalized;1.00;\textbf{0.12};0.89;0.18;4.64;5.32;5.17;62.58;62.70;61.84;60.96;59.50;62.04;92.37;136.02;351.96;60.12;59.33;59.51
lp time \si[per-mode=symbol]{\per\second};0.845;\textbf{0.100};0.752;0.148;3.819;4.353;4.251;49.336;49.335;48.725;47.877;46.641;48.821;7.446;9.253;9.417;47.281;46.537;46.680
