;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;\textbf{{2}};\textbf{{2}};{13};{13};{173};{158};{90};{99};{94};{95};{172};{242};{197};{23};{67};{102};{102};{144};{207}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;48;47;20;16;16;16;62;83;65;10;18;51;20;38;66
cuts;;;;;;;;;;;;;;;;;;;
# total;{400};{437};\textbf{{213}};\textbf{{213}};{2,048};{1,948};{1,512};{2,327};{2,281};{2,221};{1,868};{2,660};{2,473};{1,816};{3,646};{4,558};{1,924};{2,208};{2,457}
# max;{400};{437};{42};{42};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{400};{437};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{390};{372};{248};{660};{689};{669};{556};{636};{525};{1,342};{2,772};{3,870};{292};{389};{523}
# removed;{0};{0};{94};{94};{1,902};{1,803};{1,357};{2,121};{2,066};{2,013};{1,670};{2,446};{2,285};{1,394};{3,186};{3,935};{1,775};{2,028};{2,279}
objective;;;;;;;;;;;;;;;;;;;
bound;-33.57;-33.57;-33.57;-33.57;-26.4;-26.43;-26.4;\textbf{-26.37};\textbf{-26.37};\textbf{-26.37};\textbf{-26.37};\textbf{-26.37};\textbf{-26.37};-31.18;-30.63;-30.63;\textbf{-26.37};\textbf{-26.37};\textbf{-26.37}
gap;27.3%;27.3%;27.3%;27.3%;0.1%;0.2%;0.1%;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;18.2%;16.1%;16.1%;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};\textbf{0.001};\textbf{0.001};0.003;0.003;0.069;0.066;0.040;0.055;0.052;0.053;0.072;0.101;0.082;1.326;1.953;6.512;0.049;0.064;0.088
normalized;\textbf{1.00};\textbf{1.00};3.00;3.00;69.00;66.00;40.00;55.00;52.00;53.00;72.00;101.00;82.00;1326.00;1953.00;6512.00;49.00;64.00;88.00
lp time \si[per-mode=symbol]{\per\second};\textbf{0.001};\textbf{0.001};0.003;0.003;0.054;0.048;0.031;0.047;0.043;0.045;0.056;0.073;0.057;0.016;0.032;0.050;0.038;0.049;0.070
