;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;\textbf{{1}};\textbf{{1}};\textbf{{1}};\textbf{{1}};\textbf{{1}};\textbf{{1}};\textbf{{1}};\textbf{{1}};\textbf{{1}};\textbf{{1}};\textbf{{1}};\textbf{{1}};\textbf{{1}};\textbf{{1}};\textbf{{1}};\textbf{{1}};\textbf{{1}};\textbf{{1}};\textbf{{1}}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cuts;;;;;;;;;;;;;;;;;;;
# total;\textbf{{0}};\textbf{{0}};\textbf{{0}};\textbf{{0}};\textbf{{0}};\textbf{{0}};\textbf{{0}};\textbf{{0}};\textbf{{0}};\textbf{{0}};\textbf{{0}};\textbf{{0}};\textbf{{0}};\textbf{{0}};\textbf{{0}};\textbf{{0}};\textbf{{0}};\textbf{{0}};\textbf{{0}}
# max;{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0}
# min;{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0}
# removed;{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0};{0}
objective;;;;;;;;;;;;;;;;;;;
bound;\textbf{0};\textbf{0};\textbf{0};\textbf{0};\textbf{0};\textbf{0};\textbf{0};\textbf{0};\textbf{0};\textbf{0};\textbf{0};\textbf{0};\textbf{0};\textbf{0};\textbf{0};\textbf{0};\textbf{0};\textbf{0};\textbf{0}
gap;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001}
normalized;\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00}
lp time \si[per-mode=symbol]{\per\second};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001}
