;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{3};\textbf{{2}};{13};{13};{56};{59};{51};{10,000};{10,000};{10,000};{10,000};{10,000};{10,000};{60};{121};{186};{10,000};{10,000};{10,000}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;15;16;13;9956;9962;9956;19903;19875;19894;13;31;79;19902;19897;19889
cuts;;;;;;;;;;;;;;;;;;;
# total;{800};{1,120};\textbf{{344}};\textbf{{344}};{2,156};{2,353};{2,199};{60,058};{59,671};{59,777};{59,648};{59,797};{59,605};{4,765};{10,584};{11,633};{59,509};{59,703};{60,033}
# max;{400};{1,120};{86};{86};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{400};{1,120};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{482};{525};{449};{58,218};{57,920};{57,947};{58,046};{57,822};{57,943};{3,104};{7,624};{9,384};{57,752};{57,984};{58,196}
# removed;{116};{0};{131};{131};{1,908};{2,115};{1,943};{2,191};{2,049};{2,161};{1,797};{2,278};{1,895};{4,114};{9,683};{10,430};{1,963};{1,900};{2,069}
objective;;;;;;;;;;;;;;;;;;;
bound;-89.89;-89.89;-89.89;-89.89;-58.88;-58.97;-58.96;\textbf{-58.86};\textbf{-58.86};\textbf{-58.86};\textbf{-58.86};\textbf{-58.86};\textbf{-58.86};-78.02;-77.3;-77.3;\textbf{-58.86};\textbf{-58.86};\textbf{-58.86}
gap;52.8%;52.8%;52.8%;52.8%;0.1%;0.3%;0.2%;$\bm{0.1%}$;$\bm{0.1%}$;$\bm{0.1%}$;$\bm{0.1%}$;$\bm{0.1%}$;$\bm{0.1%}$;32.6%;31.4%;31.4%;$\bm{0.1%}$;$\bm{0.1%}$;$\bm{0.1%}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};\textbf{0.003};\textbf{0.003};0.007;0.007;0.085;0.091;0.081;64.600;65.077;63.980;65.147;65.177;65.690;28.335;85.947;203.018;65.273;66.398;64.716
normalized;\textbf{1.00};\textbf{1.00};2.33;2.33;28.33;30.33;27.00;21533.33;21692.33;21326.67;21715.67;21725.67;21896.67;9445.00;28649.00;67672.67;21757.67;22132.67;21572.00
lp time \si[per-mode=symbol]{\per\second};\textbf{0.001};0.002;0.003;0.003;0.068;0.062;0.062;60.464;60.879;59.878;60.048;60.013;60.497;0.061;0.108;0.193;60.148;61.215;59.502
