;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{22};\textbf{{2}};{52};{13};{195};{280};{203};{10,000};{10,000};{10,000};{10,000};{10,000};{10,000};{729};{980};{802};{10,000};{10,000};{10,000}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;11;14;13;375;396;381;764;798;744;28;35;31;803;783;754
cuts;;;;;;;;;;;;;;;;;;;
# total;{8,400};{7,654};{6,392};\textbf{{2,125}};{39,040};{48,419};{39,072};{992,291};{954,753};{995,430};{982,047};{927,289};{984,706};{155,302};{189,882};{159,109};{886,634};{946,702};{983,918}
# max;{400};{7,654};{175};{304};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{400};{7,654};{2};{2};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{686};{697};{677};{35,375};{37,307};{35,907};{36,034};{37,109};{35,072};{10,800};{13,600};{11,600};{36,863};{36,825};{35,262}
# removed;{6,824};{0};{5,422};{1,234};{37,874};{47,247};{37,891};{990,826};{952,796};{993,931};{980,257};{925,848};{983,184};{153,420};{187,986};{157,174};{884,936};{945,181};{982,384}
objective;;;;;;;;;;;;;;;;;;;
bound;-151.6;-151.6;-151.6;-151.6;-128.2;-127;-127.5;-111.5;-111.6;-111.5;-111.5;\textbf{-111.3};-111.5;-132;-132;-132;-111.3;-111.3;-111.3
gap;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};0.832;\textbf{0.059};0.824;0.166;4.249;4.845;4.438;58.260;58.066;59.194;56.272;58.834;57.654;37.093;41.001;41.151;56.585;57.798;58.416
normalized;1.00;\textbf{0.07};0.99;0.20;5.11;5.82;5.33;70.02;69.79;71.15;67.63;70.71;69.30;44.58;49.28;49.46;68.01;69.47;70.21
lp time \si[per-mode=symbol]{\per\second};0.820;\textbf{0.055};0.809;0.158;4.142;4.717;4.340;53.868;53.745;54.878;51.847;54.361;53.073;9.137;11.066;9.474;52.228;53.384;54.074
