;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{14};\textbf{{4}};{21};{17};{22};{26};{26};{24};{27};{31};{24};{30};{23};{15};{15};{15};{25};{23};{30}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;2;4;3;3;3;3;3;4;3;2;2;3;3;3;4
cuts;;;;;;;;;;;;;;;;;;;
# total;{4,836};{6,395};{2,229};\textbf{{2,200}};{6,090};{5,980};{6,026};{5,803};{6,282};{7,061};{6,043};{6,136};{5,810};{4,926};{5,002};{4,926};{6,273};{5,993};{6,124}
# max;{400};{4,915};{172};{250};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{36};{89};{1};{4};{2};{2};{3};{3};{2};{2};{2};{1};{2};{36};{36};{36};{2};{4};{2}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{80};{88};{84};{90};{82};{89};{79};{87};{81};{90};{166};{90};{81};{87};{86}
# removed;{2,449};{2,323};{1,286};{1,201};{3,385};{3,202};{3,310};{3,348};{3,565};{4,272};{3,360};{3,618};{3,219};{2,480};{2,480};{2,480};{3,660};{3,528};{3,439}
objective;;;;;;;;;;;;;;;;;;;
bound;20.24;\textbf{20.24};20.24;20.24;19.97;19.97;19.97;19.97;19.97;19.97;19.97;19.97;19.97;20.24;20.24;20.24;19.97;19.97;19.97
gap;1.3%;1.3%;1.3%;1.3%;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;1.3%;1.3%;1.3%;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};0.125;0.178;0.142;\textbf{0.116};0.240;0.258;0.237;0.247;0.245;0.279;0.247;0.260;0.226;38.934;51.675;63.112;0.254;0.232;0.255
normalized;1.00;1.42;1.14;\textbf{0.93};1.92;2.06;1.90;1.98;1.96;2.23;1.98;2.08;1.81;311.47;413.40;504.90;2.03;1.86;2.04
lp time \si[per-mode=symbol]{\per\second};0.109;0.167;0.126;\textbf{0.090};0.213;0.224;0.207;0.218;0.210;0.244;0.218;0.229;0.199;0.114;0.112;0.114;0.221;0.206;0.223
