;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{150};\textbf{{11}};{526};{23};{182};{181};{184};{180};{198};{188};{198};{186};{183};{158};{167};{189};{178};{185};{181}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;2;2;2;1;2;2;2;2;2;5;5;20;2;2;2
cuts;;;;;;;;;;;;;;;;;;;
# total;{58,484};{46,409};{73,945};\textbf{{7,708}};{69,308};{68,046};{70,760};{69,990};{72,089};{68,936};{72,499};{69,797};{69,878};{59,873};{63,549};{65,304};{68,044};{70,125};{69,240}
# max;{400};{24,565};{194};{733};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{21};{16};{6};{9};{10};{14};{10};{21};{3};{1};{1};{4};{18};{1};{5};{1};{21};{21};{13}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{87};{92};{84};{147};{281};{266};{90};{94};{92};{1,008};{1,534};{3,174};{105};{100};{87}
# removed;{53,090};{18,996};{71,284};{4,762};{64,913};{64,693};{66,230};{65,913};{68,593};{65,676};{68,703};{63,664};{64,143};{54,081};{57,733};{58,049};{64,690};{66,659};{63,500}
objective;;;;;;;;;;;;;;;;;;;
bound;75.46;75.46;75.46;75.46;\textbf{75.14};\textbf{75.14};\textbf{75.14};\textbf{75.14};\textbf{75.14};\textbf{75.14};\textbf{75.14};\textbf{75.14};\textbf{75.14};75.45;75.43;75.43;\textbf{75.14};\textbf{75.14};\textbf{75.14}
gap;0.4%;0.4%;0.4%;0.4%;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;0.4%;0.4%;0.4%;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};10.519;16.518;18.701;\textbf{2.152};12.259;12.050;12.220;12.308;12.874;12.389;12.537;12.367;12.355;327.727;340.138;1403.772;12.105;12.046;12.286
normalized;1.00;1.57;1.78;\textbf{0.20};1.17;1.15;1.16;1.17;1.22;1.18;1.19;1.18;1.17;31.16;32.34;133.45;1.15;1.15;1.17
lp time \si[per-mode=symbol]{\per\second};10.326;16.450;18.262;\textbf{2.086};12.005;11.804;11.960;12.062;12.578;12.122;12.249;12.096;12.093;10.582;10.875;11.257;11.854;11.781;12.028
