;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{7};\textbf{{2}};{15};{19};{2,844};{2,565};{3,112};{10,000};{10,000};{10,000};{10,000};{10,000};{10,000};{194};{418};{426};{10,000};{10,000};{10,000}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;660;583;736;3607;3711;3649;3014;3010;3270;37;67;147;3078;2987;3170
cuts;;;;;;;;;;;;;;;;;;;
# total;{2,013};{3,696};{1,026};\textbf{{931}};{37,103};{35,913};{37,689};{371,354};{379,256};{377,226};{72,954};{72,396};{69,349};{23,293};{42,243};{42,416};{71,648};{69,232};{69,187}
# max;{400};{3,696};{163};{179};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{13};{3,696};{13};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{7,975};{7,287};{8,280};{307,492};{316,184};{312,581};{23,283};{22,721};{25,095};{11,524};{23,542};{30,666};{24,093};{22,883};{24,101}
# removed;{960};{0};{546};{450};{36,495};{35,289};{37,079};{366,411};{373,742};{371,760};{72,306};{71,714};{68,655};{21,829};{40,610};{40,104};{70,927};{68,575};{68,487}
objective;;;;;;;;;;;;;;;;;;;
bound;-123.9;-123.9;-123.9;-123.9;-76.81;-76.61;-76.92;\textbf{-73.44};-73.44;-73.44;-74.87;-74.9;-74.76;-102.4;-101.8;-101.8;-74.71;-75.17;-75.23
gap;69.0%;69.0%;69.0%;69.0%;4.8%;4.5%;4.9%;$\mathbf{0.2%}$;0.2%;0.2%;2.1%;2.1%;2.0%;39.6%;38.8%;38.8%;1.9%;2.5%;2.6%
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};0.025;\textbf{0.010};0.024;0.023;8.927;8.125;9.434;51.633;52.994;53.001;27.945;28.762;29.197;59.710;129.194;347.158;28.359;28.447;29.091
normalized;1.00;\textbf{0.40};0.96;0.92;357.08;325.00;377.36;2065.32;2119.76;2120.04;1117.80;1150.48;1167.88;2388.40;5167.76;13886.32;1134.36;1137.88;1163.64
lp time \si[per-mode=symbol]{\per\second};0.022;\textbf{0.006};0.018;0.018;7.838;7.158;8.190;46.228;47.519;47.518;23.909;24.694;25.046;0.960;1.602;1.560;24.299;24.355;24.952
