;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;\textbf{{2}};\textbf{{2}};{8};{8};{3};{3};{3};{3};{3};{3};{3};{3};{3};\textbf{{2}};\textbf{{2}};\textbf{{2}};{3};{3};{3}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1
cuts;;;;;;;;;;;;;;;;;;;
# total;{46};{46};\textbf{{25}};\textbf{{25}};{50};{50};{50};{50};{50};{50};{50};{50};{50};{46};{46};{46};{50};{50};{50}
# max;{46};{46};{10};{10};{46};{46};{46};{46};{46};{46};{46};{46};{46};{46};{46};{46};{46};{46};{46}
# min;{46};{46};{1};{1};{4};{4};{4};{4};{4};{4};{4};{4};{4};{46};{46};{46};{4};{4};{4}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{4};{4};{4};{4};{4};{4};{4};{4};{4};{0};{0};{0};{4};{4};{4}
# removed;{0};{0};{3};{3};{21};{21};{21};{21};{21};{21};{21};{21};{21};{0};{0};{0};{21};{21};{21}
objective;;;;;;;;;;;;;;;;;;;
bound;-60.01;-60.01;-60.01;-60.01;\textbf{-57.51};\textbf{-57.51};\textbf{-57.51};\textbf{-57.51};\textbf{-57.51};\textbf{-57.51};\textbf{-57.51};\textbf{-57.51};\textbf{-57.51};-60.01;-60.01;-60.01;\textbf{-57.51};\textbf{-57.51};\textbf{-57.51}
gap;4.3%;4.3%;4.3%;4.3%;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;4.3%;4.3%;4.3%;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};0.103;0.052;0.152;\textbf{0.001};\textbf{0.001};\textbf{0.001}
normalized;\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};103.00;52.00;152.00;\textbf{1.00};\textbf{1.00};\textbf{1.00}
lp time \si[per-mode=symbol]{\per\second};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001}
