;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{177};\textbf{{6}};{231};{22};{250};{236};{247};{268};{239};{232};{211};{233};{219};{178};{178};{179};{231};{230};{245}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;2;2;3;3;3;3;3;3;2;2;2;5;3;3;3
cuts;;;;;;;;;;;;;;;;;;;
# total;{70,400};{31,698};{38,005};\textbf{{8,595}};{95,404};{90,223};{93,588};{100,229};{89,823};{88,335};{81,606};{87,600};{85,085};{70,742};{70,800};{71,048};{89,127};{88,847};{94,777}
# max;{400};{19,831};{205};{694};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{400};{1};{27};{2};{3};{2};{1};{3};{1};{1};{5};{3};{67};{342};{400};{306};{2};{4};{1}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{106};{196};{218};{309};{302};{311};{224};{209};{190};{342};{400};{648};{206};{232};{214}
# removed;{66,695};{12,830};{35,551};{5,958};{91,679};{86,833};{89,794};{96,866};{84,530};{83,391};{75,865};{84,533};{80,000};{66,699};{66,699};{66,701};{86,087};{85,819};{91,406}
objective;;;;;;;;;;;;;;;;;;;
bound;48.12;48.12;48.12;48.12;\textbf{47.81};\textbf{47.81};\textbf{47.81};\textbf{47.81};\textbf{47.81};\textbf{47.81};\textbf{47.81};\textbf{47.81};\textbf{47.81};48.11;48.11;48.11;\textbf{47.81};\textbf{47.81};\textbf{47.81}
gap;0.6%;0.6%;0.6%;0.6%;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;0.6%;0.6%;0.6%;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};8.041;9.809;8.973;\textbf{1.941};10.462;10.461;10.357;10.689;10.500;10.158;9.734;10.043;9.928;1048.319;1612.362;3380.866;10.213;10.143;10.625
normalized;1.00;1.22;1.12;\textbf{0.24};1.30;1.30;1.29;1.33;1.31;1.26;1.21;1.25;1.23;130.37;200.52;420.45;1.27;1.26;1.32
lp time \si[per-mode=symbol]{\per\second};7.557;9.730;8.445;\textbf{1.728};9.559;9.646;9.482;9.716;9.650;9.377;9.027;9.242;9.209;7.598;7.599;7.578;9.421;9.396;9.829
