;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{17};\textbf{{2}};{38};{18};{365};{330};{460};{10,000};{10,000};{10,000};{10,000};{10,000};{10,000};{586};{946};{1,101};{10,000};{10,000};{10,000}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;22;19;27;553;560;569;1064;1049;1059;52;70;179;1067;1059;1043
cuts;;;;;;;;;;;;;;;;;;;
# total;{6,052};{7,358};{3,892};\textbf{{2,372}};{48,211};{41,833};{50,091};{617,618};{616,042};{595,846};{591,691};{601,729};{584,883};{71,380};{110,148};{102,742};{593,893};{585,608};{606,176}
# max;{400};{7,358};{171};{296};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{52};{7,358};{1};{2};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{762};{635};{706};{51,669};{52,289};{53,000};{47,436};{47,150};{47,023};{17,432};{25,010};{40,920};{47,844};{46,843};{46,920}
# removed;{4,516};{0};{3,017};{1,502};{47,094};{40,726};{48,988};{616,128};{614,634};{594,421};{590,242};{600,301};{583,462};{68,962};{107,662};{99,339};{592,493};{583,918};{604,797}
objective;;;;;;;;;;;;;;;;;;;
bound;-249;-249;-249;-249;-212.5;-215.4;-213.9;\textbf{-185.8};-186.2;-185.8;-186;-186;-186.2;-214.4;-214.1;-214.1;-186.1;-186.3;-186.3
gap;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};0.508;\textbf{0.061};0.475;0.167;4.077;3.483;4.189;50.857;51.258;50.952;49.205;50.468;50.194;87.061;108.508;407.429;49.916;49.220;50.956
normalized;1.00;\textbf{0.12};0.94;0.33;8.03;6.86;8.25;100.11;100.90;100.30;96.86;99.35;98.81;171.38;213.60;802.03;98.26;96.89;100.31
lp time \si[per-mode=symbol]{\per\second};0.498;\textbf{0.057};0.463;0.155;3.936;3.335;3.977;46.758;47.122;46.858;45.022;46.209;45.998;7.127;10.756;10.519;45.703;45.059;46.744
