;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{4};\textbf{{3}};{6};{6};{4};{4};{4};{4};{4};{4};{4};{4};{4};{4};{4};{4};{4};{4};{4}
calls;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
objective;;;;;;;;;;;;;;;;;;;
bound;\textbf{-1304};\textbf{-1304};\textbf{-1304};\textbf{-1304};\textbf{-1304};\textbf{-1304};\textbf{-1304};\textbf{-1304};\textbf{-1304};\textbf{-1304};\textbf{-1304};\textbf{-1304};\textbf{-1304};\textbf{-1304};\textbf{-1304};\textbf{-1304};\textbf{-1304};\textbf{-1304};\textbf{-1304}
gap;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$
time;;;;;;;;;;;;;;;;;;;
seconds;\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};0.002;0.002;\textbf{0.001};0.002;0.002;0.002;\textbf{0.001};\textbf{0.001};\textbf{0.001};0.002;\textbf{0.001};\textbf{0.001};\textbf{0.001};0.002
relative;\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};\textbf{1.00};2.00;2.00;\textbf{1.00};2.00;2.00;2.00;\textbf{1.00};\textbf{1.00};\textbf{1.00};2.00;\textbf{1.00};\textbf{1.00};\textbf{1.00};2.00
