;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{3};\textbf{{2}};{10};{10};{33};{34};{44};{10,000};{10,000};{10,000};{10,000};{10,000};{10,000};{29};{60};{34};{10,000};{10,000};{10,000}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;4;5;5;6825;6614;6608;13641;13565;13473;4;6;5;14186;13275;14039
cuts;;;;;;;;;;;;;;;;;;;
# total;{800};{902};\textbf{{345}};\textbf{{345}};{2,784};{2,459};{3,664};{339,387};{331,587};{329,143};{340,898};{332,652};{333,927};{3,333};{5,361};{3,795};{345,985};{330,265};{342,003}
# max;{400};{902};{68};{68};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{400};{902};{1};{1};{3};{1};{1};{1};{1};{1};{1};{1};{1};{2};{1};{1};{1};{1};{1}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{92};{88};{122};{290,080};{281,222};{281,105};{290,054};{288,535};{286,198};{962};{1,550};{960};{301,484};{282,509};{298,449}
# removed;{16};{0};{129};{129};{2,508};{2,195};{3,385};{124,289};{134,900};{127,676};{109,359};{130,198};{130,662};{2,821};{4,738};{3,239};{95,985};{130,617};{125,250}
objective;;;;;;;;;;;;;;;;;;;
bound;-74.5;-74.5;-74.5;-74.5;-58.11;-59.13;-57.74;\textbf{-51.31};\textbf{-51.31};\textbf{-51.31};\textbf{-51.31};\textbf{-51.31};\textbf{-51.31};-64.8;-64.8;-64.8;\textbf{-51.31};\textbf{-51.31};\textbf{-51.31}
gap;58.5%;58.5%;58.5%;58.5%;23.6%;25.8%;22.9%;$\mathbf{9.2%}$;$\mathbf{9.2%}$;$\mathbf{9.2%}$;$\mathbf{9.2%}$;$\mathbf{9.2%}$;$\mathbf{9.2%}$;37.9%;37.9%;37.9%;$\mathbf{9.2%}$;$\mathbf{9.2%}$;$\mathbf{9.2%}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};0.008;\textbf{0.004};0.005;0.006;0.082;0.082;0.110;209.192;173.841;181.510;246.453;183.272;185.163;0.580;0.631;0.646;294.051;176.504;208.829
normalized;1.00;\textbf{0.50};0.62;0.75;10.25;10.25;13.75;26149.00;21730.12;22688.75;30806.62;22909.00;23145.38;72.50;78.88;80.75;36756.38;22063.00;26103.62
lp time \si[per-mode=symbol]{\per\second};0.007;\textbf{0.002};0.003;0.005;0.080;0.080;0.102;206.982;171.572;179.329;243.521;180.309;182.279;0.080;0.109;0.082;291.009;173.614;205.842
