;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;\textbf{{2}};\textbf{{2}};{17};{17};{11};{12};{13};{11};{9};{11};{10};{11};{10};{7};{9};{7};{12};{10};{14}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;3;3;3;3;2;2;3;3;3;3;3;4;3;3;3
cuts;;;;;;;;;;;;;;;;;;;
# total;{175};{175};\textbf{{119}};\textbf{{119}};{241};{267};{248};{243};{250};{251};{242};{257};{269};{363};{358};{363};{255};{247};{257}
# max;{175};{175};{24};{24};{175};{175};{175};{175};{175};{175};{175};{175};{175};{175};{175};{175};{175};{175};{175}
# min;{175};{175};{1};{1};{1};{2};{1};{1};{1};{1};{2};{1};{1};{2};{1};{2};{1};{2};{1}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{45};{45};{45};{48};{48};{46};{39};{45};{49};{172};{162};{172};{48};{41};{43}
# removed;{0};{0};{56};{56};{169};{196};{174};{163};{162};{176};{178};{183};{188};{201};{188};{201};{177};{180};{184}
objective;;;;;;;;;;;;;;;;;;;
bound;-28.98;-28.98;-28.98;-28.98;\textbf{-25.89};\textbf{-25.89};\textbf{-25.89};\textbf{-25.89};\textbf{-25.89};\textbf{-25.89};\textbf{-25.89};\textbf{-25.89};\textbf{-25.89};-28.27;-28.27;-28.27;\textbf{-25.89};\textbf{-25.89};\textbf{-25.89}
gap;11.9%;11.9%;11.9%;11.9%;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;9.2%;9.2%;9.2%;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};\textbf{0.001};\textbf{0.001};0.002;0.003;0.003;0.003;0.003;0.002;0.004;0.003;0.002;0.003;0.003;0.335;0.208;0.388;0.003;0.002;0.004
normalized;\textbf{1.00};\textbf{1.00};2.00;3.00;3.00;3.00;3.00;2.00;4.00;3.00;2.00;3.00;3.00;335.00;208.00;388.00;3.00;2.00;4.00
lp time \si[per-mode=symbol]{\per\second};\textbf{0.001};\textbf{0.001};\textbf{0.001};0.002;\textbf{0.001};0.003;0.002;\textbf{0.001};0.002;0.002;\textbf{0.001};0.002;\textbf{0.001};\textbf{0.001};\textbf{0.001};\textbf{0.001};0.003;\textbf{0.001};0.002
