;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{11};\textbf{{2}};{23};{20};{3,763};{4,411};{3,524};{10,000};{10,000};{10,000};{10,000};{10,000};{10,000};{366};{645};{602};{10,000};{10,000};{10,000}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;567;644;486;1187;1238;1183;1943;1968;1944;54;85;171;1973;1907;1972
cuts;;;;;;;;;;;;;;;;;;;
# total;{4,000};{5,973};{1,839};\textbf{{1,541}};{84,004};{95,585};{90,630};{349,247};{339,822};{340,827};{132,172};{126,566};{133,767};{47,077};{69,757};{71,020};{128,910};{126,916};{131,911}
# max;{400};{5,973};{178};{243};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{400};{5,973};{1};{4};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{7,958};{8,481};{7,543};{110,876};{115,796};{110,559};{16,939};{16,402};{17,870};{17,892};{31,704};{42,430};{16,630};{17,091};{17,607}
# removed;{2,511};{0};{1,167};{873};{83,167};{94,746};{89,817};{347,851};{338,343};{339,352};{131,288};{125,672};{132,872};{45,142};{67,699};{68,015};{128,029};{126,013};{131,022}
objective;;;;;;;;;;;;;;;;;;;
bound;-349.4;-349.4;-349.4;-349.4;-227.6;-226;-228.3;\textbf{-215.6};-215.8;-216.1;-222.9;-222.3;-221.6;-288.4;-287;-287;-222.8;-223.5;-222.2
gap;76.3%;76.3%;76.3%;76.3%;14.8%;14.0%;15.2%;$\bm{8.8%}$;8.9%;9.0%;12.4%;12.2%;11.8%;45.5%;44.8%;44.8%;12.4%;12.8%;12.1%
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};0.131;\textbf{0.024};0.069;0.052;17.271;19.852;17.076;74.832;74.934;75.149;40.050;38.883;40.219;80.545;146.772;381.224;40.031;42.769;40.899
normalized;1.00;\textbf{0.18};0.53;0.40;131.84;151.54;130.35;571.24;572.02;573.66;305.73;296.82;307.02;614.85;1120.40;2910.11;305.58;326.48;312.21
lp time \si[per-mode=symbol]{\per\second};0.125;\textbf{0.018};0.058;0.044;15.805;18.180;15.744;70.637;70.693;70.864;36.167;34.982;36.254;3.119;4.833;4.403;36.077;38.892;36.979
