;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{47};\textbf{{8}};{102};{21};{54};{52};{61};{56};{55};{56};{56};{58};{54};{47};{47};{47};{58};{55};{53}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;1;2;2;1;2;2;2;2;1;1;1;2;2;1;2
cuts;;;;;;;;;;;;;;;;;;;
# total;{17,668};{25,686};{12,010};\textbf{{4,684}};{18,353};{18,600};{19,675};{18,999};{18,985};{19,418};{18,677};{19,115};{18,624};{17,668};{17,668};{17,668};{18,901};{19,125};{18,923}
# max;{400};{13,311};{166};{486};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{19};{3};{1};{3};{6};{5};{1};{7};{9};{9};{1};{5};{6};{19};{19};{19};{2};{6};{5}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{6};{17};{27};{7};{49};{110};{43};{41};{6};{0};{0};{0};{7};{6};{17}
# removed;{12,318};{10,792};{10,243};{2,760};{13,226};{13,537};{14,119};{13,706};{13,472};{13,628};{13,509};{13,605};{13,293};{12,318};{12,318};{12,318};{13,461};{13,606};{13,559}
objective;;;;;;;;;;;;;;;;;;;
bound;56.07;56.07;56.07;56.07;\textbf{55.99};\textbf{55.99};\textbf{55.99};\textbf{55.99};\textbf{55.99};\textbf{55.99};\textbf{55.99};\textbf{55.99};\textbf{55.99};56.07;56.07;56.07;\textbf{55.99};\textbf{55.99};\textbf{55.99}
gap;0.2%;0.2%;0.2%;0.2%;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;0.2%;0.2%;0.2%;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$;$\mathbf{0.0%}^{*}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};2.557;1.821;2.191;\textbf{0.591};2.811;2.799;2.973;2.885;2.849;3.002;2.828;2.895;2.818;22.412;22.830;42.581;2.903;2.931;2.852
normalized;1.00;0.71;0.86;\textbf{0.23};1.10;1.09;1.16;1.13;1.11;1.17;1.11;1.13;1.10;8.76;8.93;16.65;1.14;1.15;1.12
lp time \si[per-mode=symbol]{\per\second};2.509;1.790;2.120;\textbf{0.560};2.755;2.746;2.911;2.821;2.792;2.942;2.771;2.836;2.760;2.523;2.508;2.509;2.843;2.871;2.801
