;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;\textbf{{6}};\textbf{{6}};{17};{17};{16};{21};{16};{17};{14};{17};{19};{17};{17};\textbf{{6}};\textbf{{6}};\textbf{{6}};{15};{16};{18}
# $\centernot{\texttt{Δ}}$-calls;0;0;0;0;4;3;3;4;3;3;3;3;4;1;1;2;3;4;3
cuts;;;;;;;;;;;;;;;;;;;
# total;{1,288};{1,515};\textbf{{568}};\textbf{{568}};{1,496};{1,539};{1,492};{1,588};{1,570};{1,565};{1,662};{1,510};{1,490};{1,288};{1,288};{1,288};{1,503};{1,458};{1,517}
# max;{400};{671};{61};{61};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400};{400}
# min;{1};{53};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1};{1}
# $\centernot{\texttt{Δ}}$-cuts;{0};{0};{0};{0};{37};{28};{33};{73};{66};{64};{35};{29};{25};{0};{0};{0};{38};{20};{13}
# removed;{552};{800};{317};{317};{756};{782};{741};{819};{766};{771};{897};{776};{741};{552};{552};{552};{748};{706};{781}
objective;;;;;;;;;;;;;;;;;;;
bound;4.985;4.985;4.985;4.985;\textbf{4.938};\textbf{4.938};\textbf{4.938};\textbf{4.938};\textbf{4.938};\textbf{4.938};\textbf{4.938};\textbf{4.938};\textbf{4.938};4.985;4.985;4.985;\textbf{4.938};\textbf{4.938};\textbf{4.938}
gap;1.0%;1.0%;1.0%;1.0%;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;1.0%;1.0%;1.0%;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$
time;;;;;;;;;;;;;;;;;;;
total \si[per-mode=symbol]{\per\second};0.012;\textbf{0.011};0.014;0.015;0.021;0.025;0.020;0.023;0.020;0.023;0.024;0.022;0.022;0.850;0.528;1.368;0.021;0.021;0.023
normalized;1.00;\textbf{0.92};1.17;1.25;1.75;2.08;1.67;1.92;1.67;1.92;2.00;1.83;1.83;70.83;44.00;114.00;1.75;1.75;1.92
lp time \si[per-mode=symbol]{\per\second};0.010;\textbf{0.007};0.010;0.008;0.016;0.018;0.016;0.020;0.016;0.020;0.019;0.017;0.020;0.010;0.010;0.010;0.017;0.017;0.022
