;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;\textbf{{6}};\textbf{{6}};{17};{17};{16};{21};{16};{17};{14};{17};{19};{17};{17};\textbf{{6}};\textbf{{6}};\textbf{{6}};{15};{16};{18}
calls;0;0;0;0;4;3;3;4;3;3;3;3;4;1;1;2;3;4;3
objective;;;;;;;;;;;;;;;;;;;
bound;4.985;4.985;4.985;4.985;\textbf{4.938};\textbf{4.938};\textbf{4.938};\textbf{4.938};\textbf{4.938};\textbf{4.938};\textbf{4.938};\textbf{4.938};\textbf{4.938};4.985;4.985;4.985;\textbf{4.938};\textbf{4.938};\textbf{4.938}
gap;1.0%;1.0%;1.0%;1.0%;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;1.0%;1.0%;1.0%;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$
time;;;;;;;;;;;;;;;;;;;
seconds;0.012;\textbf{0.011};0.014;0.015;0.021;0.025;0.020;0.023;0.020;0.023;0.024;0.022;0.022;0.850;0.528;1.368;0.021;0.021;0.023
relative;1.09;\textbf{1.00};1.27;1.36;1.91;2.27;1.82;2.09;1.82;2.09;2.18;2.00;2.00;77.27;48.00;124.36;1.91;1.91;2.09
