;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{33};\textbf{{5}};{52};{20};{38};{44};{40};{45};{41};{49};{42};{41};{38};{33};{34};{34};{40};{44};{43}
calls;0;0;0;0;1;2;2;3;2;3;2;2;1;1;2;4;2;3;3
objective;;;;;;;;;;;;;;;;;;;
bound;24.69;24.69;24.69;24.69;\textbf{24.63};\textbf{24.63};\textbf{24.63};\textbf{24.63};\textbf{24.63};\textbf{24.63};\textbf{24.63};\textbf{24.63};\textbf{24.63};24.69;24.69;24.69;\textbf{24.63};\textbf{24.63};\textbf{24.63}
gap;0.2%;0.2%;0.2%;0.2%;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;0.2%;0.2%;0.2%;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$;$\bm{0.0%}^{*}$
time;;;;;;;;;;;;;;;;;;;
seconds;0.783;0.567;0.862;\textbf{0.443};0.907;0.986;0.923;0.985;0.936;1.028;0.935;0.935;0.892;504.599;1810.175;2822.495;0.922;0.966;0.967
relative;1.77;1.28;1.95;\textbf{1.00};2.05;2.23;2.08;2.22;2.11;2.32;2.11;2.11;2.01;1139.05;4086.17;6371.32;2.08;2.18;2.18
