;\texttt{Δ};$\texttt{Δ}_{\infty}$;$\texttt{Δ}^{\leq 1}$;$\texttt{Δ}_{\infty}^{\leq 1}$;1;2;3;1;2;3;1;2;3;\texttt{Δ-½};\texttt{Δ-2};\texttt{Δ-c};1;2;3
# it.;{10};\textbf{{3}};{18};{17};{24};{35};{47};{23};{26};{21};{34};{33};{38};{11};{11};{11};{29};{38};{44}
calls;0;0;0;0;6;9;9;4;6;5;9;9;13;2;2;3;9;12;13
objective;;;;;;;;;;;;;;;;;;;
bound;10.52;10.52;10.52;10.52;\textbf{10.29};10.29;10.3;\textbf{10.29};\textbf{10.29};\textbf{10.29};\textbf{10.29};\textbf{10.29};\textbf{10.29};10.5;10.5;10.5;\textbf{10.29};\textbf{10.29};\textbf{10.29}
gap;2.3%;2.3%;2.3%;2.3%;$\bm{0.1%}$;0.1%;0.2%;$\bm{0.1%}$;$\bm{0.1%}$;$\bm{0.1%}$;$\bm{0.1%}$;$\bm{0.1%}$;$\bm{0.1%}$;2.2%;2.2%;2.2%;$\bm{0.1%}$;$\bm{0.1%}$;$\bm{0.1%}$
time;;;;;;;;;;;;;;;;;;;
seconds;0.048;\textbf{0.032};0.049;0.046;0.115;0.142;0.174;0.115;0.121;0.113;0.144;0.144;0.146;38.462;50.024;63.241;42.606;42.483;42.489
relative;1.50;\textbf{1.00};1.53;1.44;3.59;4.44;5.44;3.59;3.78;3.53;4.50;4.50;4.56;1201.94;1563.25;1976.28;1331.44;1327.59;1327.78
